"schemaname","tablename","indexname","indexdef"
"public","quiz_questions","idx_quiz_questions_quiz_id","CREATE INDEX idx_quiz_questions_quiz_id ON public.quiz_questions USING btree (quiz_id)"
"public","quiz_questions","quiz_questions_pkey","CREATE UNIQUE INDEX quiz_questions_pkey ON public.quiz_questions USING btree (id)"
"public","quiz_questions","quiz_questions_quiz_id_order_number_key","CREATE UNIQUE INDEX quiz_questions_quiz_id_order_number_key ON public.quiz_questions USING btree (quiz_id, order_number)"
"public","quiz_submissions","quiz_submissions_pkey","CREATE UNIQUE INDEX quiz_submissions_pkey ON public.quiz_submissions USING btree (id)"
"public","quizzes","quizzes_pkey","CREATE UNIQUE INDEX quizzes_pkey ON public.quizzes USING btree (id)"
"public","quizzes","quizzes_step_id_key","CREATE UNIQUE INDEX quizzes_step_id_key ON public.quizzes USING btree (step_id)"
"public","step_completions","idx_step_completions_user_step","CREATE INDEX idx_step_completions_user_step ON public.step_completions USING btree (user_id, step_id)"
"public","step_completions","step_completions_pkey","CREATE UNIQUE INDEX step_completions_pkey ON public.step_completions USING btree (id)"
"public","step_completions","step_completions_user_id_step_id_key","CREATE UNIQUE INDEX step_completions_user_id_step_id_key ON public.step_completions USING btree (user_id, step_id)"
"public","user_media","idx_user_media_user_id","CREATE INDEX idx_user_media_user_id ON public.user_media USING btree (user_id)"
"public","user_media","user_media_pkey","CREATE UNIQUE INDEX user_media_pkey ON public.user_media USING btree (id)"
"public","user_notes","idx_user_notes_step_id","CREATE INDEX idx_user_notes_step_id ON public.user_notes USING btree (step_id)"
"public","user_notes","idx_user_notes_user_step","CREATE INDEX idx_user_notes_user_step ON public.user_notes USING btree (user_id, step_id)"
"public","user_notes","idx_user_notes_user_step_created","CREATE INDEX idx_user_notes_user_step_created ON public.user_notes USING btree (user_id, step_id, created_at DESC)"
"public","user_notes","user_notes_pkey","CREATE UNIQUE INDEX user_notes_pkey ON public.user_notes USING btree (id)"
"public","users","idx_users_email","CREATE INDEX idx_users_email ON public.users USING btree (email)"
"public","users","idx_users_role","CREATE INDEX idx_users_role ON public.users USING btree (role)"
"public","users","users_email_key","CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)"
"public","users","users_pkey","CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)"
